název produktu;V-kód produktu;skupina produktů;čas cyklu (s);kavita;čas přípravy (s);zmetkovitost (%)
Čočka D544 SAE;V2386;2386;480;2;14400;5
Inner projector BY736 EU/UK;V2387;2387;418;1;14400;5
Inner projector  BY 736 SAE;V2388;2388;477;1;14400;5
Contributor BY736 EU/UK/SAE;V2389;2389;263;1;14400;5
Bracket ;V2391;2391;70;2;14400;5
Bracket;V2392;2392;58,19;2;14400;5
Drain cock nesestavený;V2393;2393;29,3;4;14400;5
VPEPRH-A001A04-BD;V2397;2397;60;1;14400;5
Pin -Alignment Rear;V2402;2402;27,5;4;14400;5
Čočka D544-ccc  4 násobná forma;V2408;2408;497;3;14400;5
Pin Alignment Front;V2410;2410;20,1;4;14400;5
 Inner Projector Lowbeam;V2414;2414;456;1;14400;5
Inner Projector SB high;V2415;2415;300;1;14400;5
Clip C519;V2416;2416;20;8;14400;5
 HC281B2N1A-01 mřížka;V2417;2417;42;2;14400;5
Čočka D544-SAE 4 násobná forma;V2422;2422;498;4;14400;5
Lens-Inner Projector-Lowbeam;V2425;2425;235;2;14400;5
Lens-Inner Projector-Multifun.;V2426;2426;324;2;14400;5
Lens-Inner Projector - SB;V2427;2427;338;4;14400;5
Bracket/Clip - A/C Line;V2430;2430;30,9;2;14400;5
VPAV1H-19E778-CA;V2434;2434;30,3;6;14400;5
VP9DGH-8115-AA;V2438;2438;29,8;4;14400;5
100111302;V2444;2444;53;2;14400;5
Drain Cock Assembly;V2448;2448;24;8;14400;5
COVER HEATER CORE;V2449;2449;39,5;4;14400;5
VPAMFH-18A457-AB;V2450;2450;39,5;4;14400;5
DC3H2G1P1B-01 COVER - HITR TUBE;V2451;2451;36,5;2;14400;5
HR771G2P1A03;V2455;2455;60;1;14400;5
Lens-Inner Collimator - LB - LED - SK370;V2456;2456;83,6;2;14400;5
Lens-Inner Collimator - HB - LED - SK370;V2457;2457;142;2;14400;5
HB-EU LED-00214684-01;V2462;2462;70;1;14400;5
00216236-01-0000 Heat Sink;V2463;2463;39,6;4;14400;5
PLHR295JRCAA-plastic bracket;V2466;2466;27,5;1;14400;5
PLHR295JRCBA-plastic bracket;V2467;2467;26,7;2;14400;5
HR771G7B1A01 Protection Grill;V2469;2469;54;1;14400;5
Rámeček-Porsche GT3 MC541g2P2B-02 ;V2470;2470;60;1;14400;5
Vorzatzoptik 1305370175;V3003;3003;44,1;8;14400;5
eLight lens BMW F45;V3004;3004;;;14400;5
Inner Lens 1404000856;V3035;3035;47;2;14400;5
Primary optic 1305370193;V3036;3036;76;2;14400;5
1404001030;V3040;3040;30,5;2;14400;5
1404001031;V3041;3041;30,9;2;14400;5
1404001848;V3064;3064;115;1;14400;5
Těleso + těsnění 2K- nová forma C;V3100;3100;57;1;14400;5
Těleso+krycí sklo ;V3101;3101;51,6;1;14400;5
Těleso+Krycí sklo 2K-průhledné;V3102;3102;48,2;2;14400;5
Těleso+krycí sklo 2K-červené;V3103;3103;44,3;2;14400;5
Lens 2K;V3109;3109;58;1;14400;5
Těleso + těsnění - nová forma D;V3115;3115;56;1;14400;5
Čočka;V3208;3208;283;1;14400;5
Button 2K -01033103010;V3300;3300;56;4;14400;5
Lens - 01030700051;V3301;3301;34;4;14400;5
Indikátor LH;V3302;3302;22;13;14400;5
Indikátor RH;V3303;3303;33;15;14400;5
Kappe ;V3304;3304;22;16;14400;5
Lense;V3307;3307;31;4;14400;5
OBU03 01 00 0 - hor. díl s piktogramy;V3400;3400;48,15;2;14400;5
OBU03 01 00 0 - hor. díl s piktogramy - duplicita;V3401;3401;;;14400;5
Klika VISION 2;V4000;4000;270;1;14400;5
Stojan RO ;V4104;4104;43;1;14400;5
Stojan RG ;V4105;4105;59;1;14400;5
Opěrka ;V4106;4106;80;2;14400;5
Držadlo horní ;V4107;4107;47;1;14400;5
Držadlo spodní;V4108;4108;36,9;1;14400;5
Noha - nová remoska PRIMA;V4109;4109;23,5;4;14400;5
Držadlo horní - PRIMA;V4110;4110;45;2;14400;5
Držadlo spodní - PRIMA;V4111;4111;36,9;1;14400;5
Stojan 21 - PRIMA;V4112;4112;53;1;14400;5
Stojan 22 - PRIMA;V4113;4113;55;1;14400;5
Stojan Tria;V4114;4114;;;14400;5
Opěrka Tria;V4115;4115;;;14400;5
Držadlo horní Tria;V4116;4116;;;14400;5
Držadlo spodní Tria;V4117;4117;;;14400;5
Plomba;V4200;4200;24,6;8;14400;5
Západka;V4201;4201;36;4;14400;5
Kryt;V4202;4202;50;4;14400;5
Víko krytu;V4203;4203;29,5;4;14400;5
Packa-sněholez;V5000;5000;35,7;2;14400;5
Redukční disk V18;V5003;5003;70;1;14400;5
Satelit-Sněholez ;V5004;5004;33;3;14400;5
Kolečko motorku-sněholez;V5024;5004;33;1;14400;5
Ozubený segment;V5005;5005;33,6;1;14400;5
Planetové kolo 2-Sněholez;V5006;5006;42,6;1;14400;5
Planetové kolo 1- sněholez;V5007;5007;27;1;14400;5
Vložka rotoru-Sněholez;V5008;5008;58;1;14400;5
Bajonet-Sněholez;V5009;5009;50,4;1;14400;5
Víčko Motoru,Držák hallové sondy,Držák kon rot,Držák kon rot 2;V5010;5010;40;1;14400;5
Držák hallové sondy;V5039;5010;40;1;14400;5
Držák koncáku rotor;V5040;5010;40;1;14400;5
Držák koncáku rotor 2;V5041;5010;40;1;14400;5
Příruba-Sněholez;V5011;5011;36,4;1;14400;5
Pomocná páka-Sněholez;V5013;5013;46;2;14400;5
Páka levá, páka pravá - sněholez;V5014;5014;42,2;1;14400;5
Držák paken-sněholez;V5015;5015;34,4;1;14400;5
Vozík sestava- Sněholez;V5016;5016;58,4;1;14400;5
Lopatka-sněholez;V5017;5017;200;1;14400;5
Kryt hl. kompl.-Sněholez;V5018;5018;148,8;1;14400;5
Doraz-sněholez;V5019;5019;73,1;2;14400;5
Klec-sněholez;V5020;5020;62;1;14400;5
Rotor-sněholez;V5021;5021;90;1;14400;5
Základna-sněholez;V5022;5022;289;1;14400;5
Aretace;V5023;5023;60;1;14400;5
zajištění bajonetu se šroubem-sněholez + 5026;V5025;5025;49;2;14400;5
Oska aretace se závitem-sněholez;V5026;5025;49;2;14400;5
Matice-sněholez;V5027;5027;34,6;1;14400;5
Držák matice-sněholez;V5032;5027;34,6;1;14400;5
Držák baterie- Sněholez;V5028;5028;65;1;14400;5
Držák koženky, Držák koženky malý;V5030;5030;27;2;14400;5
Držák koženky malý;V5031;5030;27;2;14400;5
Držák motoru + 5036 + 5037;V5035;5035;43;1;14400;5
Točna motoru;V5036;5035;43;1;14400;5
Točna motoru - poklop;V5037;5035;43;1;14400;5
Tělo motoru;V5100;5100;70;1;14400;5
Přední díl;V5104;5104;37,5;1;14400;5
Ozubené kolo 1, Ozubené kolo 2;V5105;5105;45;1;14400;5
Ozubené kolo 2;V5113;5105;45;2;14400;5
Horní díl;V5106;5106;38;1;14400;5
Spodní díl - Host;V5107;5107;40;1;14400;5
Spodní díl - Overmould;V5108;5108;60;1;14400;5
Držák unašeč;V5111;5111;40;2;14400;5
Svěltovod;V5112;5112;30;2;14400;5
Doraz matice;V5117;5117;;;14400;5
Kolo 262;V5118;5118;41,4;1;14400;5
Vidlička;V5119;5118;41,4;1;14400;5
Dělená matice;V5120;5120;50;1;14400;5
Kryt zadní;V5200;5200;37,4;1;14400;5
Kryt přední;V5201;5201;43,6;1;14400;5
Gehäuse Klappfach man re (Halter);V6001;6001;46,5;2;14400;5
Stange außen Klappfach man Re KURZ + V6003;V6002;6002;32;2;14400;5
Stange innen Klappfach man RE LANG;V6003;6002;32;2;14400;5
Staufach Klappfach Manual re (Klappe);V6004;6004;44,2;2;14400;5
Blende SOUL;V6005;6005;37,5;2;14400;5
Griff SOUL;V6006;6006;26;4;14400;5
Zahnrad Staufach (Gear wheel);V6007;6007;24,1;8;14400;5
Blende ACHATGRAU;V6012;6012;37,5;2;14400;5
Griff ACHATGRAU;V6013;6013;29;4;14400;5
Blende PORSCHE SCHWARZ;V6014;6014;37,5;2;14400;5
Griff PORSCHE SCHWARZ;V6015;6015;29;4;14400;5
Blende MOJAVEBEIGE;V6016;6016;37,5;2;14400;5
Griff MOJAVEBEIGE;V6017;6017;29;4;14400;5
Blende Klappfach man re;V6018;6018;37,5;2;14400;5
Griff Klappfach;V6019;6019;29;4;14400;5
FC1D3F2S1D01 damper;V7000;7000;52,5;2;14400;5
Protection Grill;V7001;7001;46;1;14400;5
HR771BAE4F01 Protection Grill;V7002;7002;47,6;1;14400;5
SPOUT-ACAC-2;V7004;7004;;;14400;5
Páka levá - sněholez;V1179L;1179;42,2;1;14400;5
Páka pravá - sněholez;V1179P;1179;42,2;1;14400;5
Flush box 1M;V1278;1278;60,7;1;14400;5
Flush box 2M;V1279;1279;56,8;1;14400;5
Flush box 3M;V1280;1280;66;1;14400;5
přední opěra-úchyt-S;V1356;1356;49,4;1;14400;5
přední opěra-tělo-S;V1356;1356;49,4;1;14400;5
Jmenovka sestavená info;V1431;1431;;;14400;5
Luftleittel  2KO 121 283;V1500L;1500;;;14400;5
Luftleittel  2KO 121 284;V1500P;1501;;;14400;5
Capping 4M51-N613C47-AD32N5;V1501L;1501;;;14400;5
Capping 4M51-N613C46-AD32N5;V1501P;1502;;;14400;5
Corner LH. 4M51-N40429-AC32N5;V1502L;1502;;;14400;5
Corner RH. 4M51-N40428-AC32N5;V1502P;1502;;;14400;5
Capping 4M51-N613C47-AD31T3;V1503L;1503;;;14400;5
Capping 4M51-N613C46-AD31T3;V1503P;1503;;;14400;5
Horn SWITCH;V1505;1505;38;1;14400;5
Side Def Driver Offblac LHD LH;V1577P;1577;41;1;14400;5
Side Def Driver Offblac LHD RH;V1577L;1577;41;1;14400;5
Pouzdro skupina Audi 169-00;V1590L;1590;40,8;1;14400;5
Pouzdro skupina Audi 170-01;V1590P;1590;40,8;1;14400;5
Bracket LH 178.633-01;V1591L;1591;22,1;1;14400;5
Bracket RH 178.633-01;V1591P;1591;22,1;1;14400;5
Bracket LH 178.636-01;V1592L;1592;27,2;1;14400;5
Bracket RH 178.636-01;V1592P;1592;27,2;1;14400;5
DECORATIVE RING BLIND LH 184.074-01;V1595L;1595;44;1;14400;5
DECORATIVE RING BLIND LH 184.074-02;V1595P;1595;44;1;14400;5
Držák L oprávárenské řešení Polo 176.955.01;V1596L;1596;;;14400;5
Držák P oprávárenské řešení Polo 176.955.02;V1596P;1596;;;14400;5
Reparaturelasche 1L 181 838-01;V1597L;1597;22,3;1;14400;5
Reparaturelasche 1P 181 838-02;V1597P;1597;22,3;1;14400;5
Reparaturelasche 2L 181 840-01;V1598L;1598;25,1;1;14400;5
Reparaturelasche 2P 181 840-02;V1598P;1598;25,1;1;14400;5
Reparaturelasche 3L 181 841-01;V1599L;1599;27,2;1;14400;5
Reparaturelasche 3P 181 841-02;V1599P;1599;27,2;1;14400;5
Těsnící vložka s vodiči-Cajun;V1630;1630;250;1;14400;5
Výškové nastavení  L;V1770L;1770;34;1;14400;5
Výškové nastavení  P;V1770P;1770;34;1;14400;5
217.787-01;V1783L;1783;32,5;1;14400;5
217.787-02;V1783P;1783;32,5;1;14400;5
215.895-01;V1784L;1784;;1;14400;5
215.895-02;V1784P;1784;;1;14400;5
Light Conductor Low.2, 211.695-01+02, Volvo XC60;V1785L;1785;79;1;14400;5
Light Conductor Upp.2, 211.690-01+02, Volvo XC60;V1785P;1785;79;1;14400;5
;V1786L;1785;79;1;14400;5
;V1786P;1785;79;1;14400;5
Filter Stop (diamonds) 211.698-01/AA;V1787L;1787;53;1;14400;5
Filter Stop (diamonds) 211.698-02/AA;V1787P;1787;53;1;14400;5
Light conductor, 211.705-01+02, Volvo XC60;V1789L;1789;73;1;14400;5
Light conductor, 211.699-01+02, Volvo XC60 ;V1789P;1789;73;1;14400;5
;V1790L;1789;73;1;14400;5
;V1790P;1789;73;1;14400;5
Lens Toyota, 182.477-01;V1791L;1791;45;1;14400;5
Lens Toyota, 182.477-02;V1791P;1791;45;1;14400;5
Lens, Toyota, 182.566-01;V1792L;1792;43,3;2;14400;5
Lens, Toyota, 182.556-02;V1792P;1792;43,3;2;14400;5
Optic lens 209.077-01;V1793L;1793;53;1;14400;5
Optic Lens 209.077-02;V1793P;1793;53;1;14400;5
Edge Light 201.996-01+02/AA;V1796L;1796;80,5;1;14400;5
Edge Light 201.996-03+04/AA;V1796P;1796;80,5;1;14400;5
;V1797L;1796;80,5;1;14400;5
;V1797P;1796;80,5;1;14400;5
Lens SBL 197.203-01/AA;V1798L;1798;136;2;14400;5
Lens SBL 197.203-02/AA;V1798P;1798;136;2;14400;5
Lens SMR 197.206-01/AA;V1799L;1799;61;1;14400;5
Lens SMR 197.206-02/AA;V1799P;1799;61;1;14400;5
Reparaturelasche 4L 183 593-01;V1801L;1801;28,7;1;14400;5
Reparaturelasche 4P 183 593-02;V1801P;1801;28,7;1;14400;5
Cover LH;V1802L;1802;52;1;14400;5
Cover RH;V1802P;1802;52;1;14400;5
Reparaturelasche  187 817-01;V1803L;1803;32,1;1;14400;5
;V1803P;1803;32,1;1;14400;5
Reparaturelasche  187 818-01;V1804P;1804;40,8;1;14400;5
Reparaturelasche  187 818-02;V1804L;1804;40,8;1;14400;5
Reparaturelasche  187 819-01;V1805L;1805;30;1;14400;5
Reparaturelasche  187 819-02;V1805P;1805;30;1;14400;5
Vaz Housing LH;V1806L;1806;49;1;14400;5
Vaz Housing RH;V1806P;1806;49;1;14400;5
Reparaturelasche RE1-188 488-02;V1807L;1807;34,6;1;14400;5
Reparaturelasche RE1-188 488-02;V1807P;1807;34,6;1;14400;5
Reparaturelasche LI1-188 489-01;V1808L;1808;30,5;1;14400;5
Reparaturelasche RE1-188 489-02;V1808P;1808;30,5;1;14400;5
Zusatzlichts.BIX LH 196.239-01/AA;V1811L;1811;41;1;14400;5
Zusatzlichts.BIX RH 196.239-02/AA;V1811P;1811;41;1;14400;5
Zusatzlichts.TOP LH;V1812L;1812;43;1;14400;5
Zusatzlichts.TOP RH;V1812P;1812;43;1;14400;5
Filter 2K SEAT- 198.044-01/AB;V1816L;1816;56;1;14400;5
Filter 2K SEAT 198.044-02/AB;V1816P;1816;56;1;14400;5
Filter 2K SEAT 198.053-01;V1817L;1817;53;1;14400;5
Filter 2K SEAT- 198.053-02;V1817P;1817;53;1;14400;5
Justirelement 1;V1818L;1818;27;1;14400;5
Justirelement 1;V1818P;1818;27;1;14400;5
Abdeckung 198.632-01;V1819L;1819;33;2;14400;5
Abdeckung 198.632-02;V1819P;1819;33;2;14400;5
Boční stěna levá;V1872L;1872;57,5;1;14400;5
Boční stěna pravá;V1872P;1872;57,5;1;14400;5
VP4SHX-18040-ABC;V2000L;2000;28;2;14400;5
VP4SHX-18040-AAC;V2000P;2000;28;2;14400;5
4VFX-13B582-AA;V2002L;2002;;;14400;5
4VFX-13B561-AA;V2002P;2002;;;14400;5
4VFX-13328-BA;V2004L;2004;;;14400;5
4VFX-13328-CA;V2004P;2004;;;14400;5
4VFX-13328-DA;V2005L;2005;;;14400;5
4VFX-13328-EA;V2005P;2005;;;14400;5
YU3X-13B537-AAA;V2009L;2009;41,5;1;14400;5
YU3X-13N514-AAA;V2009P;2009;41,5;1;14400;5
1S7X-13A615-AE;V2051;2051;49;2;14400;5
VAXBYX-13229-AA;V2060L;2060;48;2;14400;5
VAXBYX-13228-AA;V2060P;2060;48;2;14400;5
XS4X-13229-AE;V2061L;2061;48,1;2;14400;5
XS4X-13228-AE;V2061P;2061;48,1;2;14400;5
VP1M5X-13229-AB;V2062L;2062;40;1;14400;5
VP1M5X-13228-AB;V2062P;2062;40;1;14400;5
VA2C4X-13229-AA;V2063L;2063;48;2;14400;5
VA2C4X-13228-AA;V2063P;2063;48;2;14400;5
4SHX-13B537-AA;V2115L;2115;39;1;14400;5
4SHX-13N514-AA;V2115P;2115;39;1;14400;5
VP4SHX-13B537-BA;V2116L;2116;34,1;1;14400;5
VP4SHX-13N514-BA;V2116P;2116;34,1;1;14400;5
VP7M5X-15N225-BA;V2117L;2117;47;1;14400;5
VP7M5X-15N225-AA;V2117P;2117;47;1;14400;5
VP8X7X-13A339-GA;V2118L;2118;39,5;1;14400;5
VP8X7X-13A338-GA;V2118P;2118;39,5;1;14400;5
VP8X7X-13B537-BA;V2119L;2119;33,6;1;14400;5
VP8X7X-13B536-BA;V2119P;2119;33,6;1;14400;5
VP9TTX-13B537-AA;V2120L;2120;39;1;14400;5
VP9TTX-13N514-AA;V2120P;2120;39;1;14400;5
VP6EGX-13N410-BH;V2129L;2129;56;1;14400;5
VP6EGX-13N410-AH;V2129P;2129;56;1;14400;5
VP6EGX-13N410-DF;V2130L;2130;54;1;14400;5
VP6EGX-13N410-CF;V2130P;2130;54;1;14400;5
VP7M5X-15N225-BB;V2136L;2136;47;1;14400;5
VP7M5X-15N225-AB;V2136P;2136;47;1;14400;5
VP9PMX-13N115-AA;V2139L;2139;;;14400;5
VP9PMX-13070-AA;V2139P;2139;;;14400;5
VPBCQX-15A206-AA;V2150L;2150;38,9;1;14400;5
VPBCQX-15A205-AA;V2150P;2150;38,9;1;14400;5
VPBCQX-13K046-BA;V2151L;2151;46;1;14400;5
VPBCQX-13K046-AA;V2151P;2151;46;1;14400;5
VPCX2X-13469-BA;V2152L;2152;21;2;14400;5
VPCX2X-13469-AA;V2152P;2152;21;2;14400;5
VPCX2X-13469-DA;V2153L;2153;22,8;2;14400;5
VPCX2X-13469-CA;V2153P;2153;22,8;2;14400;5
4SHX-13B537-AB;V2154L;2154;34,8;1;14400;5
4SHX-13B514-AB;V2154P;2154;34,8;1;14400;5
VP4SHX-13B537-BB;V2155L;2155;35,7;1;14400;5
VP4SHX-13N514-BB;V2155P;2155;35,7;1;14400;5
VPCCFX-13R385-AA;V2158L;2158;50;1;14400;5
VPCCFX-13R386-AA;V2158P;2158;50;1;14400;5
VPCCFX-13R386-BA;V2159L;2159;47;1;14400;5
VPCCFX-13R385-BA;V2159P;2159;47;1;14400;5
VPCX2X-15B473-AA;V2160L;2160;31,2;1;14400;5
VPCX2X-15B472-AA;V2160P;2160;31,2;1;14400;5
VPCX2X-13K455-AA;V2163L;2163;70;1;14400;5
VPCX2X-13K454-AA;V2163P;2163;70;1;14400;5
VPCX2X-15B473-BA;V2164L;2164;44;1;14400;5
VPCX2X-15B472-BA;V2164P;2164;44;1;14400;5
VPCX2X-13C212-BA;V2165L;2156;54;1;14400;5
VPCX2X-13C211-BA;V2165P;2156;54;1;14400;5
VPCX2X-13C212-CA;V2166L;2166;55;1;14400;5
VPCX2X-13C211-CA;V2166P;2166;55;1;14400;5
VPCX2X-13C212-AA;V2167L;2167;85;1;14400;5
VPCX2X-13C211-AA;V2167P;2167;85;1;14400;5
VPCCFX-13R386-CA;V2168L;2168;50;1;14400;5
VPCCFX-13R385-CA;V2168P;2168;50;1;14400;5
VPBCQX-13K060-DA;V2170L;2170;;;14400;5
VPBCQX-13K060-CA;V2170P;2170;;;14400;5
VPBCQX-15A206-AB;V2171L;2171;42;1;14400;5
VPBCQX-15A205-AB;V2171P;2171;42;1;14400;5
VPAMGX-13A298 NA;V2172L;2172;45,5;1;14400;5
VPAMGX-13A297-NA;V2172P;2172;45,5;1;14400;5
VPAMGX-13A298-MA;V2173L;2173;44;1;14400;5
VPAMGX-13A297-MA;V2173P;2173;44;1;14400;5
VPCX2X-15B473-AB;V2174L;2174;49,5;1;14400;5
VPCX2X-15B472-AB;V2174P;2174;49,5;1;14400;5
1S7X-13A460-CF;V2175L;2175;46;1;14400;5
1S7X-13A415-CF;V2175P;2175;46;1;14400;5
VP4X43-404C95-AB;V2176L;2176;42;1;14400;5
VP4X43-404C94-AB;V2176P;2176;42;1;14400;5
VP7EKX-13A298-DC;V2177L;2177;46,4;1;14400;5
VP7EKX-13A297-DC;V2177P;2177;46,4;1;14400;5
VP7EKX-13A298-HB;V2178L;2178;46,4;1;14400;5
VP7EKX-13A297-HB;V2178P;2178;46,4;1;14400;5
VP7EKX-13A298-CC;V2179L;2179;58;1;14400;5
VP7EKX-13A297-CC;V2179P;2179;58;1;14400;5
VP7EKX-13A298-GB;V2180L;2180;58;1;14400;5
VP7EKX-13A297-GB;V2180P;2180;58;1;14400;5
VP7EKX-13A298+7-BC;V2181L;2181;66;1;14400;5
VP7EKX-13A298+7-BC;V2181P;2181;66;1;14400;5
VP7EKX-13A298+7-FB;V2182L;2181;66;1;14400;5
VP7EKX-13A298+7-FB;V2182P;2181;66;1;14400;5
VP7EKX-13A298-AC;V2183L;2183;50;1;14400;5
VP7EKX-13A297-AC;V2183P;2183;50;1;14400;5
VP7EKX-13A298-EB;V2184L;2184;50;1;14400;5
VP7EKX-13A297-EB;V2184P;2184;50;1;14400;5
4VEX-13B561-AB;V2185L;2185;56;2;14400;5
4VEX-13B582-AB;V2185P;2185;56;2;14400;5
YU3X-13229-AB;V2186L;2186;33,1;1;14400;5
YU3X-13228-AB;V2186P;2186;33,1;1;14400;5
VAYBYX-13784-AA;V2187L;2187;37;1;14400;5
VAYBYX-13783-AA;V2187P;2187;37;1;14400;5
VP5PFX-13A339-CB;V2188L;2188;36,2;2;14400;5
VP5PFX-13A338-CB;V2188P;2188;36,2;2;14400;5
VP5PFX-13A339-FB;V2189L;2189;38,4;2;14400;5
VP5PFX-13A338-FB;V2189P;2189;38,4;2;14400;5
VP5PFX-13A339-BA;V2190L;2190;68,3;2;14400;5
VP5PFX-13A338-BA;V2190P;2190;68,3;2;14400;5
VP5PFX-13A339-EA;V2191L;2191;40,8;2;14400;5
VP5PFX-13A338-EA;V2191P;2191;40,8;2;14400;5
VP7PFX-13A339-BA;V2192L;2192;51,5;2;14400;5
VP7PFX-13A338-BA;V2192P;2192;51,5;2;14400;5
VP4VEX-13B537-AF;V2193L;2193;44;1;14400;5
VP4VEX-13N514-AF;V2193P;2193;44;1;14400;5
VP4VEX-13B537-BF;V2194L;2194;40;1;14400;5
VP4VEX-13N514-BF;V2194P;2194;40;1;14400;5
VPBCQX-13K060-DB;V2195L;2195;;;14400;5
VPBCQX-13K060-CB;V2195P;2195;;;14400;5
VPBCQX-13K046-BB;V2196L;2196;46;1;14400;5
VPBCQX-13K046-AB;V2196P;2196;46;1;14400;5
VPCX2X-15B473-BB;V2198L;2198;35,8;1;14400;5
VPCX2X-15B472-BB;V2198P;2198;35,8;1;14400;5
VPAP3X-13A298-BA;V2200L;2200;52;1;14400;5
VPAP3X-13A297-BA;V2200P;2200;52;1;14400;5
 VPAP3X-13A297-AC;V2201L;2201;72;1;14400;5
VPAP3X-13A298-AC;V2201P;2201;72;1;14400;5
VPCX2X-13C212-CB;V2203L;2203;52;1;14400;5
VPCX2X-13C211-CB;V2203P;2203;52;1;14400;5
VPCX2X-13C212-BB;V2204L;2204;50;1;14400;5
VPCX2X-13C211-BB;V2204P;2204;50;1;14400;5
VPCFPX- 13C212- AB;V2213L;2213;46;1;14400;5
VPCFPX- 13C211- AB;V2213P;2213;46;1;14400;5
95VG-13784-AB;V2217L;2217;37;1;14400;5
95VG-13783-AB;V2217P;2217;37;1;14400;5
VPDSWX-13B537-AB;V2218L;2218;75;1;14400;5
VPDSWX-13N514-AB;V2218P;2218;75;1;14400;5
VPCX2X-15B473-AC;V2222L;2222;64;1;14400;5
VPCX2X-15B472-AC;V2222P;2222;64;1;14400;5
VPCX2X-15B473-BC;V2223L;2223;40;1;14400;5
VPCX2X-15B472-BC;V2223P;2223;40;1;14400;5
VPBCQX-13K046-BC;V2225L;2225;51;1;14400;5
VPBCQX-13K046-AC;V2225P;2225;51;1;14400;5
VPCX2X-13469-BB;V2226L;2226;33,2;2;14400;5
VPCX2X-13469-AB;V2226P;2226;33,2;2;14400;5
VPCX2X-13469-DB;V2227L;2227;30;2;14400;5
VPCX2X-13469-CB;V2227P;2227;30;2;14400;5
VPDX2X-13C212-AA;V2228L;2228;66;1;14400;5
VPDX2X-13C211-AA;V2228P;2228;66;1;14400;5
VPDH5X-13B582-AA;V2229L;2229;49,3;1;14400;5
VPDH5X-13B561-AA;V2229P;2229;49,3;1;14400;5
VPDH5X-13B582-BA;V2230L;2230;38,3;1;14400;5
VPDH5X-13B561-BA;V2230P;2230;38,3;1;14400;5
VPDH5X-13A298-AB;V2231L;2231;58;1;14400;5
VPDH5X-13A297-AB;V2231P;2231;58;1;14400;5
VPDH5X-13A298-BB;V2232L;2232;43;1;14400;5
VPDH5X-13A297-BB;V2232P;2232;43;1;14400;5
VPDH5X-13A298-CA;V2233L;2233;46,6;1;14400;5
VPDH5X-13A297-CA;V2233P;2233;46,6;1;14400;5
VPDX2X-13K455-BA;V2235L;2235;42;1;14400;5
VPDX2X-13K454-BA;V2235P;2235;42;1;14400;5
VPDE2X-13A298-AA;V2236L;2236;48;1;14400;5
VPDE2X-13A297-AA;V2236P;2236;48;1;14400;5
VPCEZX-15N225-BA;V2237L;2237;47;1;14400;5
VPCEZX-13N225-AA;V2237P;2237;47;1;14400;5
VP4VEX-13B537-AF;V2238L;2238;43,4;1;14400;5
VP4VEX-13N514-AF;V2238P;2238;43,4;1;14400;5
VP4VEX-13B537-BF;V2239L;2239;43,4;1;14400;5
VP4VEX-13N514-BF;V2239P;2239;43,4;1;14400;5
VP4SHX-13B537-BB;V2240L;2240;55,2;1;14400;5
VP4SHX-13N514-BB;V2240P;2240;55,2;1;14400;5
Modul holder- čer. rámeček;V2241L;2241;45;1;14400;5
Modul holder- čer. rámeček;V2241P;2241;45;1;14400;5
VPCPPX-21A305-AA;V2242L;2242;44;1;14400;5
VPCPPX-21A304-AA;V2242P;2242;44;1;14400;5
VPDH9X-13C197-AA;V2243L;2243;43;1;14400;5
VPDH9X-13C196-AA;V2243P;2243;43;1;14400;5
VPDH9X-13367-BA;V2244L;2244;33;1;14400;5
VPDH9X-13367-AA;V2244P;2244;33;1;14400;5
Blade- PSA- šavle;V2246L;2246;78;1;14400;5
Blade- PSA- šavle;V2246P;2246;78;1;14400;5
VPDH9X-13A339-BA;V2247L;2247;45;1;14400;5
VPDH9X-13A338-BA;V2247P;2247;45;1;14400;5
VPDH9X-13A197-BA;V2248L;2248;47;1;14400;5
VPDH9X-13A198-BA;V2248P;2248;47;1;14400;5
Watershed panel;V2253L;2253;63;1;14400;5
Watershed panel;V2253P;2253;63;1;14400;5
VPBCQX-15A206-AC;V2254L;2254;50;1;14400;5
VPBCQX-15A205-AC;V2254P;2254;50;1;14400;5
VPDH9X-13A339-BC;V2256L;2256;41;1;14400;5
VPDH9X-13A338-BC;V2256P;2256;41;1;14400;5
